COUNTRY,DATE,CPI_VALUE,EXCHANGE_RATE,INTEREST_RATE
Philippines,2016-01-01,91.66275197195444,47.5111,4.0
Philippines,2016-02-01,91.49237510955304,47.6361052631579,4.0
Philippines,2016-03-01,91.49237510955304,46.7239523809524,4.0
Philippines,2016-04-01,91.74794040315514,46.2845238095238,4.0
Philippines,2016-05-01,91.91831726555654,46.8022857142857,4.0
Philippines,2016-06-01,92.25907099035936,46.4644545454546,3.0
Philippines,2016-07-01,92.42944785276076,47.0581,3.0
Philippines,2016-08-01,92.42944785276076,46.6808636363636,3.0
Philippines,2016-09-01,92.59982471516216,47.429380952381,3.0
Philippines,2016-10-01,92.77020157756355,48.3482,3.0
Philippines,2016-11-01,93.28133216476776,49.155,3.0
Philippines,2016-12-01,93.62208588957056,49.8156,3.0
Philippines,2017-01-01,93.96283961437337,49.7362857142857,3.0
Philippines,2017-02-01,94.30359333917616,49.9614,3.0
Philippines,2017-03-01,94.30359333917616,50.2751739130435,3.0
Philippines,2017-04-01,94.64434706397898,49.8626470588235,3.0
Philippines,2017-05-01,94.55915863277828,49.8603181818182,3.0
Philippines,2017-06-01,94.55915863277828,49.8501,3.0
Philippines,2017-07-01,94.64434706397898,50.6381904761905,3.0
Philippines,2017-08-01,94.81472392638038,50.8747142857143,3.0
Philippines,2017-09-01,95.41104294478528,51.0094210526316,3.0
Philippines,2017-10-01,95.6666082383874,51.3433,3.0
Philippines,2017-11-01,96.0925503943909,51.03835,3.0
Philippines,2017-12-01,96.348115687993,50.3947368421053,3.0
Philippines,2018-01-01,97.2,50.5086666666667,3.0
Philippines,2018-02-01,97.9,51.7856315789474,3.0
Philippines,2018-03-01,98.4,52.0676,3.0
Philippines,2018-04-01,98.8,52.0986,3.0
Philippines,2018-05-01,99.0,52.1948095238095,3.25
Philippines,2018-06-01,99.4,53.0476315789474,3.5
Philippines,2018-07-01,100.2,53.4329090909091,3.5
Philippines,2018-08-01,101.1,53.2735238095238,4.0
Philippines,2018-09-01,102.1,53.9419,4.5
Philippines,2018-10-01,102.3,54.0085652173913,4.5
Philippines,2018-11-01,102.0,52.8082631578947,4.75
